Dataset,Model,Whitebox,Layers_Used,Poolers_Used,predict_accuracy,predict_f1,predict_precision,predict_recall,predict_micro_f1,predict_micro_precision,predict_micro_recall,predict_macro_f1,predict_macro_precision,predict_macro_recall,predict_weighted_f1,predict_weighted_precision,predict_weighted_recall,predict_0_f1,predict_0_precision,predict_0_recall,predict_1_f1,predict_1_precision,predict_1_recall,predict_2_f1,predict_2_precision,predict_2_recall
esnli,SentenceBert,SVM,,,0.6836319218241043,,,,0.6836319218241043,0.6836319218241043,0.6836319218241043,0.6809356316028268,0.6808933412888282,0.6829769709848055,0.6815275491364191,0.6813935529492733,0.6836319218241043,0.7140109483651429,0.7115895016219405,0.7164489311163895,0.5985950008168599,0.631288766368022,0.5691208449829139,0.7302009456264776,0.6998017558765223,0.7633611368551128
esnli,SentenceBert,Decision Tree,,,0.41520765472312704,,,,0.41520765472312704,0.41520765472312704,0.41520765472312704,0.3866730268720358,0.39577240314031004,0.41310873343249715,0.3882428416711248,0.3964007645815313,0.41520765472312704,0.47822032769415207,0.4336796327615366,0.5329572446555819,0.1961639058413252,0.3287070854638422,0.13979496738117428,0.4856348470806302,0.42493049119555143,0.5665739882607352
esnli,SentenceBert,KNN,,,0.45755293159609123,,,,0.45755293159609123,0.45755293159609123,0.45755293159609123,0.4150784677408848,0.574141937533812,0.45195888041218907,0.4170285430601724,0.57217142692145,0.45755293159609123,0.5555770720371804,0.4122126436781609,0.8518408551068883,0.3732883136372163,0.47111742424242425,0.3091022056539298,0.3163700175482577,0.839095744680851,0.19493358047574916
esnli,SentenceBert,K-means,,,0.3417141693811075,,,,0.3417141693811075,0.3417141693811075,0.3417141693811075,0.2719321444430274,0.22819616278750096,0.33956634748996595,0.2740563835480757,0.2302093707834349,0.3417141693811075,0.3938691396187532,0.3478161965423112,0.45397862232779096,0.0,0.0,0.0,0.42192729371032894,0.3367722918201916,0.5647204201421069
esnli,FastText-300,SVM,,,0.4938925081433225,,,,0.4938925081433225,0.4938925081433225,0.4938925081433225,0.49330242334794255,0.49402269177171737,0.49365080384945736,0.4935477826403761,0.49425737357777916,0.4938925081433225,0.5119645494830132,0.5094062316284539,0.5145486935866983,0.4952095808383234,0.4778965616873736,0.5138241689965828,0.4727331397224911,0.49476528199932457,0.4525795489650911
esnli,FastText-300,Decision Tree,,,0.3840594462540717,,,,0.3840594462540717,0.3840594462540717,0.3840594462540717,0.3829175088024166,0.38297834671678843,0.38343708108494995,0.38333089105439044,0.3831902844062709,0.3840594462540717,0.4147109330280481,0.4002762430939227,0.43022565320665085,0.38868813825608806,0.3931977113795296,0.38428083255669465,0.34535345512311355,0.35546108567691304,0.33580475749150446
esnli,FastText-300,KNN,,,0.41357899022801303,,,,0.41357899022801303,0.41357899022801303,0.41357899022801303,0.40984197631557956,0.41430383410281507,0.4123047084020719,0.4104165590903022,0.41423520638270245,0.41357899022801303,0.45267489711934156,0.40936374549819926,0.5062351543942993,0.40797594556100647,0.41580645161290325,0.40043491767629696,0.3688750862663906,0.4177413051973427,0.3302440531356194
esnli,FastText-300,K-means,,,0.3612581433224756,,,,0.36125814332247563,0.3612581433224756,0.3612581433224756,0.28739682747739576,0.2423693487999623,0.36039553354648773,0.28880687253367476,0.2439765392463236,0.3612581433224756,0.4150842471248997,0.37761557177615573,0.46080760095011875,0.4471062353072876,0.3494924746237312,0.6203789996893445,0.0,0.0,0.0
esnli,Google-news-300,SVM,,,0.49989820846905536,,,,0.49989820846905536,0.49989820846905536,0.49989820846905536,0.49940133967550154,0.4997683027319955,0.49965201496513084,0.49960974511349426,0.49993190226662687,0.49989820846905536,0.5154457193292146,0.5107871720116618,0.5201900237529691,0.5024257125530625,0.49067219425525616,0.5147561354457906,0.4803325871442277,0.4978455419290686,0.4640098856966327
esnli,Google-news-300,Decision Tree,,,0.38456840390879476,,,,0.38456840390879476,0.38456840390879476,0.38456840390879476,0.3778950116705921,0.38221572211528904,0.3826725489247064,0.3789030866168333,0.38240928166463944,0.38456840390879476,0.4460264043489515,0.39536484625975216,0.5115795724465558,0.32355524328122254,0.37227162489894905,0.28611369990680335,0.3641033873816022,0.3790106951871658,0.35032437442076
esnli,Google-news-300,KNN,,,0.43403908794788276,,,,0.43403908794788276,0.43403908794788276,0.43403908794788276,0.42599900549649733,0.4409392857275993,0.4319649621543988,0.426933323385228,0.44081452923604925,0.43403908794788276,0.49334672357519455,0.4273597216180948,0.5834323040380047,0.4062107904642409,0.41019955654101997,0.40229885057471265,0.37843950245005653,0.4852585790236829,0.31016373185047885
esnli,Google-news-300,K-means,,,0.3553542345276873,,,,0.3553542345276873,0.3553542345276873,0.3553542345276873,0.2718730291581606,0.2457236868636797,0.3568175227402028,0.2724652034567692,0.24755923391890072,0.3553542345276873,0.3437605112680794,0.3964313421256788,0.30344418052256533,0.47185857620640237,0.3407397184653602,0.7670083876980429,0.0,0.0,0.0
esnli,Glove-Twitter-200,SVM,,,0.4759771986970684,,,,0.4759771986970684,0.4759771986970684,0.4759771986970684,0.4752452046644556,0.47569513401481606,0.4755317765012372,0.47553965176828766,0.4758377146723149,0.4759771986970684,0.49710312862108924,0.4852941176470588,0.5095011876484561,0.4736196319018405,0.4677370493789761,0.4796520658589624,0.455012853470437,0.47405423501841315,0.43744207599629287
esnli,Glove-Twitter-200,Decision Tree,,,0.3858916938110749,,,,0.38589169381107497,0.3858916938110749,0.3858916938110749,0.38576356614862656,0.387160158328741,0.3863392683508103,0.3856974744558958,0.3875024708739689,0.3858916938110749,0.38243716194718425,0.4119259766963674,0.35688836104513066,0.3976261127596439,0.3805737006532235,0.4162783473128301,0.37722742373905166,0.3689807976366322,0.3858510966944702
esnli,Glove-Twitter-200,KNN,,,0.44299674267100975,,,,0.44299674267100975,0.44299674267100975,0.44299674267100975,0.43857258648635766,0.44689139149845375,0.44142407867432465,0.4392503560408941,0.4467460097655664,0.44299674267100975,0.4869859448204061,0.4335032437442076,0.5555225653206651,0.4210026885971849,0.42880154639175255,0.4134824479652066,0.407729126041482,0.478369384359401,0.35526722273710226
esnli,Glove-Twitter-200,K-means,,,0.35800081433224756,,,,0.3580008143322475,0.35800081433224756,0.35800081433224756,0.2806381686675244,0.23739582698513498,0.35397587365398,0.282989526009655,0.23887779075394314,0.35800081433224756,0.4695725415877027,0.3637846655791191,0.6621140142517815,0.37234196441487055,0.34840281537628587,0.3998136067101584,0.0,0.0,0.0
